timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773324209956,687,POST /api/auth/login,200,,50 Concurrent Students 1-21,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,687,0,0
1773324210242,920,POST /api/auth/login,200,,50 Concurrent Students 1-17,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,920,0,0
1773324210252,911,POST /api/auth/login,200,,50 Concurrent Students 1-2,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,911,0,0
1773324210461,990,POST /api/auth/login,200,,50 Concurrent Students 1-10,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,990,0,0
1773324210628,1191,POST /api/auth/login,200,,50 Concurrent Students 1-13,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,1190,0,0
1773324210979,1092,POST /api/auth/login,200,,50 Concurrent Students 1-14,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,1092,0,0
1773324124196,89541,GET /api/events?type=gaming,200,,50 Concurrent Students 1-15,text,true,,157413,430,25,25,http://localhost:8080/api/events?typegaming,89527,0,8
1773324214238,7,POST /api/students/subscribe,201,,50 Concurrent Students 1-15,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,6,0,2
1773324138005,76343,GET /api/events?type=gaming,200,,50 Concurrent Students 1-22,text,true,,160333,430,25,25,http://localhost:8080/api/events?typegaming,76341,0,2
1773324131012,83425,GET /api/events?type=gaming,200,,50 Concurrent Students 1-5,text,true,,159602,430,25,25,http://localhost:8080/api/events?typegaming,83418,0,0
1773324214746,51,POST /api/events,201,,50 Concurrent Students 1-15,text,true,,694,636,25,25,http://localhost:8080/api/events,51,0,0
1773324214849,62,POST /api/students/subscribe,201,,50 Concurrent Students 1-22,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,62,0,3
1773324214940,12,POST /api/students/subscribe,201,,50 Concurrent Students 1-5,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,12,0,4
1773324125910,89152,GET /api/events (all),200,,50 Concurrent Students 1-3,text,true,,158145,419,25,25,http://localhost:8080/api/events,89150,0,0
1773324215299,4,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-15,text,true,,476,481,25,25,http://localhost:8080/api/events/evt-001/register,4,0,0
1773324215412,5,POST /api/events,201,,50 Concurrent Students 1-22,text,true,,693,636,25,25,http://localhost:8080/api/events,5,0,0
1773324215453,7,POST /api/events,201,,50 Concurrent Students 1-5,text,true,,691,634,25,25,http://localhost:8080/api/events,7,0,0
1773324215563,8,GET /api/events?type=gaming,200,,50 Concurrent Students 1-3,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,7,0,2
1773324125357,90216,GET /api/events?type=gaming,200,,50 Concurrent Students 1-6,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,90212,0,4
